jautajums,a111111111111111111111111111111111111111,a21111111111112222222222,a3111111111333333333333333333333333234,a4444444444444444444444444444444444444,a55555555555555555555555555555,a666666666666666666666666666666666666666,a77777777777777777777777777777777777,a88888888888888888888888888888888,aaaaaaaaaaaaaaaaaaaaaaaaaaa9999999999999999999,1000000000000000000000000000,1111111111111111111111111111111111111111111,1222222222222222222222222222222222,1333333333333333333333333333333333,1444444444444444444444444444444444444
"Kurā gadā Māris Štrombergs ieguva savu pirmo Olimpisko zeltu?","2008","divtūkstošastotajā","2008.","2008 gadā","2008.gadā","2008. gadā",a,a,a,a,a,a,a,a
"Kurā vietā norisinājās Olimpiskās spēles, kad M.Štrombergs 2.reizi kļuva par Olimpisko čempionu?","Londonā","Londona","londona","londonā",a,a,a,a,a,a,a
"Kurā gadsimtā tika uzcelta Cēsu pils?","13.","13","13.gs.","13 gs","13.gs","13 gs.","13 gadsimtā","13.gadsimtā","trīspadsmitajā gadsimtā","trīspadsmitajā",a,a,a,a
"Kā sauc Krievijas caru, kurš 1577. gadā iebruka Cēsu pilī?","Ivans","Ivans Bargais","Bargais","Ivans bargais","ivans Bargais","ivans bargais","bargais ivans","bargais",a,a,a,a,a,a
"Kurā sporta veidā Latvija ieguva vienīgo zelta medaļu ziemas olimpiskajās spēlēs?","bobslejā","Bobslejā","bobsleja","Bobsleja","bobslejs","Bobslejs",a,a,a,a,a,a,a,a
"Kāds ir maksimālais sasniedzamais ātrums (km/h) šajā trasē?","120","120.","120 km","120km","120km/h","120 km/h","120km h","120 km h","120 km / h","120 kilometri stundā","simtudivdesmit kilometri stundā",a,a,a
"Kurš ir Brīvības pieminekļa projekta autors?","Kārlis Zāle","Karlis Zale","Kaarlis Zaale","K.Zāle","Kārlis Zale","Karlis Zāle","kārlis zāle","kaarlis zaale",A,A,A,A,A,A
"Kā citādāk sauc Brīvības pieminekli?","milda","Milda",A,A,A,A,A,A,A,A,A,A,A,A
"Kā sauc dziesmu konkursu, kas no 2002.  2014. gadam norisinājās Dzintaru koncertzālē?","Jaunais Vilnis","jaunais vilnis","Jaunais vilnis","vilnis jaunais","jaunais Vilnis",A,A,A,A,A,A,A,A,A
"Kā sauc Latvijas kultūras vērtību apkopojumu, kurā ir iekļauta Dzintaru koncertzāle?","Latvijas Kultūras kanons","Latvijas Kultūras kanons","Latvijas kultūras kanons","kultūras kanons","Kultūras kanons","Kultūras Kanons","latvijas kultūras kanons","latvijas kultuuras kanons","Latvijas kultuuras kanons","kultuuras kanons","Kultuuras kanons","Kulturas kanons","kulturas kanons","Latvijas kulturas kanons"
"Kādas tautības pārstāvis bija Jelgavas pils arhitekts Frančesko Bartolomeo Rastrelli?","Itālis","itālis","Itaalis","itaalis","Italis","italis","Itālijas","itālijas","Itaalijas","itaalijas","italijas","Italijas",A,A
"Kurā pasaules karā Jelgavas pils tika sagrauta?","Otrajā","otrajā","Otrajaa","otrajaa","otraja pasaules kara","Otrajā Pasaules karā","otrajā pasaules karā","Otrajā pasaules karā","otrajā pasaules karaa",A,A,A,A,A
"Kā sauc 2007. gada filmu par Latvijas Brīvības cīņām, ko uzņēma Cinevillā?","Rīgas Sargi","Rīgas sargi","Rigas sargi","Riigas sargi","riigas sargi","rigas sargi","rīgas sargi",a,a,a,a,a,a,a
"Kā sauc filmu, kas uzņemta Cinevillā un kuras galvenajam varonim ir īpašs gredzens?","Nameja gredzens", "nameja gredzens","Nameja Gredzens",a,a,a,a,a,a,a,a,a,a,a
"Kā sauc grāmatu, kurā iekļauti Sabiles vīna dārzi, kā visvairāk uz ziemeļiem esošā vīnogu audzētava?","Ginesa Pasaules rekordu grāmata","Ginesa rekordu grāmata","Ginesa","ginesa","ginesa pasaules rekordu grāmata", "ginesa rekordu grāmatas","ginesa grāmata", "ginesa rekordu","Ginesa rekordu",a,a,a,a,a
"Kāds auglis attēlots Sabiles ģerbonī?","vīnoga","vīnogas","Vīnoga","Vīnogas","viinoga","viinogas","vinoga","viinogas","Viinoga","Viinogas","vinoga","vinogas","Vinoga","Vinogas"
"Pabeidz teikumu: Ventas rumba ir ... ūdenskritums Eiropā.","Platakais","platakais","Platākais","platākais","Plataakais","plataakais",a,a,a,a,a,a,a,a
"Uz kādas upes atrodas šis ūdenskritums?","Uz ventas","Uz Ventas","uz ventas","Uz Ventas","Ventas","ventas","venta","Ventas",a,a,a,a,a,a
"Kurā NBA komandā pašlaik spēlē K.Porziņģis?","wizards","Wizards","vizards","Vizards","Washington Wizards", "washington wizards","vašingtonas wizards","Vašingtonas Wizards",a,a,a,a,a,a
"Kādā savienībā Straupe ietilpa  17.gs.",hanzas savienības,Hanzas savienība,hanzas savieniba,Hanzas savieniba,hanzas savieniiba,Hanzas savieniiba,Hanzas,hanzas,a,a,a,a,a,a
"Kāda upe plūst cauri Ogrei?",ogre,Ogre,ogres upe,Ogres upe,a,a,a,a,a,a,a,a,a,a
"No kādas valodas nāk Ogres vēsturiskais nosaukums "Oger"?",vacu,vācu,Vacu,Vācu,vācu valodas, Vācu valodas,vaacu valodas,Vaacu valodas,vāciešu,Vāciešu,vaaciesu,Vaaciesu,a,a
"Kā sauc uzņēmumu Dobelē, kas ražo miltus, makaronus un graudaugus?",Dobeles dzirnavnieks,dobeles dzirnavneiks,dobeles dzirnavnieks,Dobeles dzirnavneiks,dzirnavnieks,a,a,a,a,a,a,a,a,a
"Kura pēc kārtas lielākā pilsēta Latvijā ir Dobele?",18,18.,a,a,a,a,a,a,a,a,a,a,a,a
"Karu, kura laikā tika nopostīta Saldus pils sauc Lielais ...... karš.",ziemeļu,Ziemeļu,ziemelu,Ziemelu,a,a,a,a,a,a,a,a,a,a
"Kā sauc pazīstamu Kurzemes hercogu, kura laikā uzplauka Saldus?",Hercogs Jēkabs, hercogs Jēkabs,hercogs jēkabs,hercogs jeekabs, Hercogs jeekabs,Hercogs Jeekabs,Jēkabs,jēkabs,Jeekabs,jeekabs,a,a,a,a
"Kā sauc vienu no Eiropas ievērojamākajiem komponistiem, kurš dzimis Aizputē?",Pēteris Vasks,Pēteris vasks,pēteris vasks,pēteris Vasks,Pēters Vasks,Peeters Vasks,a,a,a,a,a,a,a,a
"Kā sauca baltu cilti, kas 1. gadu tūkstotī dzīvoja Kurzemē, arī Aizputē?",kurši,Kurši,kursi,Kursi,Kuršu cilts,kuršu cilts,Kursu cilts,kursu cilts,a,a,a,a,a,a
"Kāda upe tek gar Straupi?",Brasla,brasla,braslas upe,Braslas upe,a,a,a,a,a,a,a,a,a,a
"Ar kuru kārtas numuru Porziņgi izvēlējās 2015.gada NBA draftā?","4","4.","ceturtais","četri","Ceturtais",a,a,a,a,a,a,a,a,a