punkts,1.jaut.,2.jaut.
k1,"Kurā gadā Māris Štrombergs ieguva savu pirmo Olimpisko zeltu?","Kurā vietā norisinājās Olimpiskās spēles, kad M.Štrombergs 2.reizi kļuva par Olimpisko čempionu?"
k2,"Kurā gadsimtā tika uzcelta Cēsu pils?","Kā sauc Krievijas caru, kurš 1577. gadā iebruka Cēsu pilī?"
k3,"Kurā sporta veidā Latvija ieguva vienīgo zelta medaļu ziemas olimpiskajās spēlēs?","Kāds ir maksimālais sasniedzamais ātrums (km/h) šajā trasē?"
k4,"Kurš ir Brīvības pieminekļa projekta autors?","Kā citādāk sauc Brīvības pieminekli?"
k5,"Kā sauc dziesmu konkursu, kas no 2002.  2014. gadam norisinājās Dzintaru koncertzālē?","Kā sauc Latvijas kultūras vērtību apkopojumu, kurā ir iekļauta Dzintaru koncertzāle?"
k6,"Kādas tautības pārstāvis bija Jelgavas pils arhitekts Frančesko Bartolomeo Rastrelli?","Kurā pasaules karā Jelgavas pils tika sagrauta?"
k7,"Kā sauc 2007. gada filmu par Latvijas Brīvības cīņām, ko uzņēma Cinevillā?","Kā sauc filmu, kas uzņemta Cinevillā un kuras galvenajam varonim ir īpašs gredzens?"
k8,"Kā sauc grāmatu, kurā iekļauti Sabiles vīna dārzi, kā visvairāk uz ziemeļiem esošā vīnogu audzētava?","Kāds auglis attēlots Sabiles ģerbonī?"
k9,"Pabeidz teikumu: Ventas rumba ir ... ūdenskritums Eiropā.","Uz kādas upes atrodas šis ūdenskritums?"
k10,"Kurā NBA komandā pašlaik spēlē K.Porziņģis?","Ar kuru kārtas numuru Porziņgi izvēlējās 2015.gada NBA draftā?"
u1,"Kāda upe tek gar Straupi?","Kādā savienībā Straupe ietilpa  17.gs."
u2,"Kāda upe plūst cauri Ogrei?","No kādas valodas nāk Ogres vēsturiskais nosaukums "Oger"?"
u3,"Kā sauc uzņēmumu Dobelē, kas ražo miltus, makaronus un graudaugus?","Kura pēc kārtas lielākā pilsēta Latvijā ir Dobele?"
u4,"Karu, kura laikā tika nopostīta Saldus pils sauc Lielais ...... karš.","Kā sauc pazīstamu Kurzemes hercogu, kura laikā uzplauka Saldus?"
u5,"Kā sauc vienu no Eiropas ievērojamākajiem komponistiem, kurš dzimis Aizputē?","Kā sauca baltu cilti, kas 1. gadu tūkstotī dzīvoja Kurzemē, arī Aizputē?"